"fid","QID","name","lifespan","age_at_death","birth_country","children","siblings"
"LZJP-CV9",NA,"Mehitable Woodward","1677 - 1739",61,"USA",6,9
"LZPD-TZ6",NA,"Richard Curtice","1626 - 1671",45,"USA",9,2
"LZXG-2LB",NA,"Grace Pine","1708 - 1745",38,"USA",8,4
"M1FH-MGC",NA,"Mary Heard","1649 - 1706",57,"USA",10,15
"M2HX-2ZQ",NA,"Mary Unknown","1664 - 1707",43,"USA",3,0
"M2XF-2S7",NA,"Ebenezer Hale","1661 - 1744",82,"USA",2,7
"M936-S4F",NA,"James Killam","1677 - 1761",84,"USA",11,5
"MD98-XCP",NA,"Mary Bunker","1708 - 1799",90,"USA",11,5
"MQKV-94Y",NA,"Catharina Jans Bloemendael","1644 - 1718",75,"USA:New York:Long Island",7,0
"MVTH-QBV",NA,"Hannah","1667 - 1729",62,"USA",11,0
"MXJ2-QJ1",NA,"Mary E Denbo","1669 - 1756",87,"USA",12,0
"2MJ4-ZXD",NA,"Grace Bett","1634 - 1705",71,"USA",9,0
"6MW2-M4Y",NA,"Richard Tozer","1620 - 1675",55,"UK:Great Britain",8,1
"93WR-TBF",NA,"Elizabeth Hull","1628 - 1706",78,"UK:Great Britain",16,6
"97FH-CGG",NA,"Mary Moulton","1651 - 1725",74,"USA",8,6
"99SQ-8R6",NA,"John Hammond","1635 - 1676",41,"USA",4,0
"9C3R-L5W",NA,"Sarah Tibbals","1654 - 1712",57,"USA",12,4
"9MC5-XJB",NA,"Margaret","1668 - 1703",36,"USA",4,0
"9WYW-R62",NA,"Lieutnant John Woodman","1637 - 1713",76,"USA",8,0
"9XB1-8XY",NA,"Robert John Chapman","1597 - Unknown",NA,"UK:Great Britain",1,0
"CM5F-GC5",NA,"Mrs Robert John Chapman","1600 - Unknown",NA,"UK:Great Britain",1,0
"DZB4-KFV",NA,"Ephraim Herrick Sr","1637 - 1693",56,"USA",9,0
"FLSD-5Z4",NA,"Mercy Woodbridge","1672 - 1707",34,"USA",8,6
"G481-DZK",NA,"Geertjen Everts","1617 - 1665",48,"Netherlands",13,2
"G6R2-1WH",NA,"Francis Bushnell Of Horsham","1580 - 1646",66,"UK:Great Britain",11,11
"GGQY-JDZ",NA,"Mary Mumford","1638 - 1712",74,"USA",1,3
"GJB4-8NR",NA,"James Covey","1615 - 1712",97,"UK:Great Britain",1,6
"GMHV-K3W",NA,"Elias Parcher","1650 - 1700",50,"USA",1,0
"GV46-YZ3",NA,"Mary","1615 - 1692",77,"UK:Great Britain",6,0
"GW3B-X4R",NA,"Elizabeth Irons","1641 - 1704",63,"USA",10,10
"K244-VCB",NA,"Benjamin Lamprey","1661 - 1752",90,"USA",12,7
"K2XN-3M9",NA,"Mary Somes","1642 - 1689",47,"USA",4,3
"K2Y1-YHS",NA,"Lucy Smith","1667 - 1737",69,"USA",4,5
"K6MS-9WW",NA,"Maria Elisabetha Beck","1665 - Unknown",NA,"Germany",9,0
"K8K2-3VG",NA,"Sarah Anne Emery","1598 - 1628",30,"UK:Great Britain",3,0
"KHG4-B2G",NA,"John Morrison","1650 - 1736",85,"UK:Great Britain",10,4
"KLFQ-Z4W",NA,"Sarah Cole","1620 - 1668",48,"UK:Great Britain",3,0
"KN77-YKF",NA,"Sarah Cooke","1635 - 1712",76,"USA",8,4
"KNHW-9PW",NA,"Mary Canney","1637 - 1706",69,"USA",12,5
"KNHW-GLH",NA,"Jeremiah Tibbetts","1631 - 1677",46,"UK:Great Britain",12,3
"KNQJ-749",NA,"Arthur Hathaway","1631 - 1711",80,"UK:Great Britain",8,0
"KP7K-SQ6",NA,"Mary Granville","1650 - 1669",19,"UK:Scotland:Isle of Lewis",1,0
"KZ4G-TZG",NA,"Edward Peavey","1665 - 1720",55,"USA",13,1
"L2C5-4BD",NA,"Maria Merritt DOBBS","1670 - 1716",46,NA,10,5
"L2C5-4PM",NA,"Thomas Hughson","Unknown - Unknown",NA,NA,10,4
"L2J4-VN4",NA,"Deborah Littlefield","1663 - 1740",77,"USA",13,10
"L2SF-C53",NA,"David Carwithen","1590 - 1665",75,"UK:Great Britain",8,0
"L2XJ-FCY",NA,"Thomas Smith Sr.","1649 - Unknown",71,"USA",10,6
"L5NW-P4F",NA,"Honor Wallis","1662 - 1722",60,"USA",4,8
"L5YV-GS5",NA,"Mehitable Fisher","1648 - 1727",78,"USA",10,9
"L6CH-WM6",NA,"Abigail Howland","1635 - 1707",72,"USA:49",9,0
"L8YT-58F",NA,"Sarah Pietersdochter Hasenbroack","1638 - 1694",56,"Netherlands",6,1
"L8YT-5DH",NA,"Jacobus Kolfs","1626 - 1663",37,"Netherlands",3,0
"LBZT-DHR",NA,"Elizabeth Matthews","1623 - 1710",86,"UK:Great Britain",7,6
"LC8L-517",NA,"Janneken Pieters","1625 - 1688",63,NA,10,2
"LCC4-7F4",NA,"Sarah Nute","1648 - 1698",50,"USA",6,5
"LCC7-LQY",NA,"Henry Tolles II","1669 - 1751",81,NA,9,0
"LCLY-R45",NA,"John Quirinus Neidhofer","1665 - 1740",76,"Germany",9,0
"LCPP-SSN",NA,"Ferris Quenell","1587 - 1628",40,"UK:Great Britain",11,0
"LCT4-RKR",NA,"Joseph Davis","1647 - 1717",70,"USA",11,11
"LCY4-H51",NA,"James Allard Sr","1649 - 1722",73,"USA",4,5
"LCYQ-M7Q",NA,"Lot Kilham","1640 - 1683",43,"USA",6,8
"LDF7-LRP",NA,"Richard Randall Sr.","1606 - 1713",107,"UK:Great Britain",9,10
"LDJL-DSG",NA,"Lydia Shatswell","1645 - 1729",85,"USA",10,3
"LDL9-RNQ",NA,"George Soule II","1639 - 1704",65,"USA",8,8
"LDMP-3GZ",NA,"John Ryder","1582 - 1642",60,"UK:Great Britain",6,12
"LDMP-3YG",NA,"Helen Smythe","1579 - 1677",98,"UK:Great Britain",6,0
"LDTX-F6G",NA,"Duncan Stewart","1625 - 1717",92,NA,12,0
"LDZN-KJN",NA,"John Barsham","1635 - 1698",63,"USA",5,9
"LH38-X9B",NA,"Elizabeth","1674 - 1713",40,"USA",4,0
"LH4H-TZ2",NA,"Richard Sisson","1608 - 1683",75,"UK:Great Britain",6,0
"LH6K-4SR",NA,"Richard Curtice","1594 - 1626",32,"UK:Great Britain",3,0
"LH77-1T1",NA,"Roger Hill","1635 - 1693",58,"USA",9,1
"LHTM-W9G",NA,"Henry Bennett","1664 - Unknown",75,NA,5,7
"LHVN-SMK",NA,"John Wood","1620 - 1704",84,"UK:Great Britain",7,6
"LHW9-JQK",NA,"Edward Morris","1630 - 1689",59,"UK:Great Britain",9,0
"LHYH-P65",NA,"Richard Carter III","1673 - 1713",40,"USA",4,3
"LJKW-RPX",NA,"Zoeth Howland","1636 - 1676",40,"USA",9,7
"LJPN-G4F",NA,"Benjamin Higgins II","1681 - Unknown",79,"USA",15,10
"LJRL-VNW",NA,"James Rawlins II","1613 - 1687",74,"UK:Great Britain",10,2
