"fid","QID","name","lifespan","age_at_death","birth_country","children","siblings"
"LHR6-R2G",NA,"Sarah Moss","1686 - 1748",62,"USA",24,0
"LJLW-YFB",NA,"Mouns Jonasson","1663 - 1727",64,"USA",15,10
"LKPM-9TJ",NA,"William Pettipoole Sr.","Unknown - 1668",38,NA,5,7
"LNQ7-B97",NA,"John Everitt","1635 - 1691",56,"USA:New York:Long Island",4,3
"LR4M-VDN",NA,"Richard Talley","1685 - 1764",79,"USA",8,2
"LR4M-VF8",NA,"Ann Parham Smith","1635 - 1727",91,"UK:Great Britain",5,3
"LR5W-Y48",NA,"Ingeborg Lycon","1669 - 1735",66,"Sweden",15,6
"LTTP-7BN",NA,"Mary Cave","1661 - 1712",51,"UK:Great Britain",9,6
"LVH6-D64",NA,"Edward Massey","1612 - 1674",61,"UK:Great Britain",8,11
"LVJZ-YSD",NA,"Godfrey Ragsdale II","1643 - 1703",60,"USA",16,0
"LVZ8-W44",NA,"Owen Donal O’Sullivan","1599 - 1698",99,"Ireland",9,5
"LWFP-CP3",NA,"Anna Bauer","1657 - 1734",76,"Germany",5,6
"LWX6-TXF",NA,"Anna Maria Fackert","1651 - 1719",68,"Germany",7,0
"LX3R-GDZ",NA,"John Lockhart","1684 - 1724",40,"UK:Great Britain",42,4
"LZ2Y-G4M",NA,"Major Robert Peyton","1640 - 1686",46,"UK:Great Britain",3,13
"LZ6K-7NP",NA,"Robert Tucker","1652 - 1704",52,"USA",7,2
"LZJF-LKW",NA,"Werner Runckel","1653 - 1698",45,"Germany",7,0
"M4QW-XF8",NA,"Susanna (Unknown)","1620 - 1693",74,NA,1,0
"M8FK-PFF",NA,"Magdalena Schwenk","1654 - 1729",75,"Poland",7,0
"MBQW-CDH",NA,"Jean Brown","Unknown - Unknown",NA,NA,2,0
"MBW6-L45",NA,"William Gregg","1659 - Unknown",NA,"UK:Great Britain",2,4
"MNRR-2MB",NA,"Theiss Fritz","1657 - 1739",81,"Germany",5,0
"MNRT-8HQ",NA,"Peter Schenckelberg","1644 - 1708",64,"Germany",5,0
"MZ5Z-485",NA,"John Coward","1627 - 1705",78,NA,1,0
"27S1-515",NA,"Lady Margaret Burnet","1643 - 1703",60,"UK:Great Britain",5,8
"2CNB-3WT",NA,"Richard Braithwaite","1588 - 1673",85,"UK:Great Britain",18,9
"2J7F-BLM",NA,"Janet Thompson","1636 - Unknown",NA,"UK:Great Britain",8,5
"2W25-CF3",NA,"John Farre","1621 - Unknown",NA,"UK:Great Britain",1,1
"2ZS4-MJP",NA,"Robert Coleman","1620 - 1689",69,"UK:Great Britain",8,9
"9425-H1W",NA,"Elizabeth Bourne","Unknown - 1668",41,NA,11,4
"94KY-5WF",NA,"John Lockhart","1590 - 1646",56,"UK:Great Britain",1,0
"9H5S-VSB","Q98017275","Lt. John Hollister","1612 - 1665",52,"UK:Great Britain",11,2
"9HZX-PN8",NA,"John Welles","1622 - 1659",37,"UK:Great Britain",7,7
"9V33-4M4",NA,"Matheus Fritz","1636 - Unknown",NA,"Germany",1,0
"9V72-SF1",NA,"Gertrude Svensdotter Gunnarsson","1638 - 1695",57,"USA",11,3
"9ZZW-JJ9",NA,"Hannah Cord","1656 - 1706",50,"USA",3,0
"C891-9MH",NA,"Unknown","Unknown - Unknown",NA,NA,1,0
"FBSG-ZR8",NA,"Gertraut Winn","1630 - 1722",92,"Germany",2,0
"G2YM-2R7",NA,"Georg Wilhelm Kell","1619 - Unknown",NA,"Germany",1,0
"G31V-Z7J",NA,"Sarah Hubbard, English Immigrant","1628 - 1688",60,"UK:Great Britain",1,0
"G3PV-HZ3",NA,"Margrett Ann Parkham","1620 - 1708",88,"UK:Great Britain",7,6
"G3YY-8G1",NA,"John Greag","1626 - Unknown",NA,"UK:Great Britain",6,5
"G4VF-F23",NA,"John Echols, Sr., English Immigrant","1619 - 1680",61,"UK:Great Britain",1,0
"G6T4-K8G",NA,"John Rowlett","1600 - 1679",79,"UK:Great Britain",1,0
"G6TH-95P",NA,"Mary Bray","1618 - 1700",82,"UK:Great Britain",1,0
"G9SG-1S2",NA,"Ellen Losbye","1595 - 1668",73,"UK:Great Britain",5,0
"G9Z1-RFP",NA,"Michael Koerper","1582 - 1658",76,"Germany",1,0
"GCGM-X93",NA,"Mary Susannah Whitby","1617 - Unknown",NA,"UK:Great Britain",1,0
"GD5D-8DX",NA,"Richard Talley","1651 - 1717",66,"USA",4,0
"GDL4-3PV",NA,"Peter Nilsson Lycon","1640 - 1693",53,"Sweden",7,8
"GDQ2-SWY",NA,"Catherine Mattson Peterson Rambo","1640 - 1691",51,"Sweden",7,0
"GHB6-1FS",NA,"Mary White","1640 - Unknown",NA,"UK:Great Britain",1,0
"GHBD-YKP",NA,"James Barrett","1640 - Unknown",NA,"UK:Great Britain",1,0
"GHHB-76M",NA,"George Alexander Keeble","1608 - 1654",45,"UK:Great Britain",1,0
"GJ7X-NVS",NA,"Cunigunda Neuner","1590 - 1662",72,"Germany",1,0
"GJ96-SKH",NA,"Elizabeth Harriet Travers","1641 - 1693",52,"UK:Great Britain",7,9
"GJL9-5V5",NA,"William Gerard Tucker","1650 - 1733",83,"USA",2,0
"GJMK-GQK",NA,"Sir Owen O'Sullivan Beara","1570 - 1616",46,"Ireland",7,3
"GK3M-8FB",NA,"Unknown","Unknown - Unknown",NA,NA,1,0
"GK6J-2T9",NA,"Elizabeth Baker","1632 - 1660",28,"UK:Great Britain",1,0
"GK6J-63H",NA,"James Watkins","1628 - 1682",54,"UK:Great Britain",1,5
"GK6V-3Y9",NA,"Mary J Gilchrist","1613 - 1714",101,"UK:Great Britain",6,2
"GKC4-J28",NA,"Peeter Greene","1600 - 1665",65,NA,4,0
"GKCH-DZP",NA,"Samuel Davis","1580 - 1639",59,NA,1,0
"GKGF-XSV",NA,"George W York","1596 - 1664",68,"UK:Great Britain",10,3
"GLSF-9N6",NA,"Elizabeth Allen","1688 - 1722",34,"USA",2,15
"GLSF-WNT",NA,"William Isaac Smith","1615 - 1700",85,"UK:Great Britain",4,0
"GM5T-M83",NA,"David William Lynn Linn","1645 - 1673",28,"UK:Great Britain",2,1
"GN2Q-9CK",NA,"Johann Hensel","1605 - 1665",60,NA,1,0
"GQ24-2MK",NA,"Daniel M. de Ross II","1613 - 1683",69,"UK:Great Britain",7,5
"GQH9-KGX",NA,"Thomas Kennedy of Ardmillan","1578 - 1637",59,"UK:Great Britain",4,12
"GQH9-T5S",NA,"Marion Crauford","1585 - 1640",55,"UK:Great Britain",4,0
"GQKP-F47",NA,"Dame Grizel Baillie","1608 - 1664",56,"UK:Great Britain",3,11
"GQLK-FQM",NA,"Cowart, Cawird or Coward EOL","1600 - Unknown",NA,"UK:Great Britain",1,0
"GQLK-J8L",NA,"Unknown EOL","Unknown - Unknown",NA,NA,1,0
"GSMP-W34",NA,"Robert John Morris","1609 - 1682",73,"UK:Great Britain",12,0
"GSQH-RTB",NA,"Anna Catharina Landorff","1608 - 1694",86,"Germany",7,1
"GSQH-T1S",NA,"Bernard Wolf Vogelgesang","1606 - 1652",46,"Germany",5,5
"GW3K-3J5",NA,"Elizabeth Grizzell","1632 - 1700",68,"UK:Great Britain",10,0
"K1TH-C53",NA,"Frances Lawson","1597 - 1633",36,"UK:Great Britain",15,1
"KCJY-7V8",NA,"Roger Matthews","1651 - Unknown",NA,"USA",3,0
"KHP7-532",NA,"Agnes Legate","1614 - 1679",65,"UK:Great Britain",13,9
"KZ2G-MC7",NA,"Richard Caldwall","1612 - Unknown",NA,"UK:Great Britain",4,5
"L26L-3DF",NA,"Joan Spencer","1629 - 1672",43,"UK:Great Britain",9,0
"L2HF-CNR",NA,"Hannah Wallingston","1600 - 1640",40,"UK:Great Britain",7,0
"L2YB-LYS",NA,"Thomas Berwick Melton Jr","1599 - 1670",71,"UK:Great Britain",7,5
"L4M5-J2Z",NA,"Magdalena Kayser","1626 - 1702",76,"Germany",7,1
"L4M5-JX9",NA,"Johannes Baur","1626 - 1693",67,"Germany",7,10
"L4Y2-GGX",NA,"Edward Seymour","1610 - 1688",78,"UK:Great Britain",8,7
"L8MV-L8Q",NA,"Edward Stevenson","1610 - 1662",52,"UK:Great Britain",3,0
"L8P2-HMH",NA,"Sir William Massey of Puddington","1580 - 1649",69,"UK:Great Britain",12,0
"LB88-3W7",NA,"John Carter Cave","1637 - 1721",84,"UK:Great Britain",11,0
"LC6Y-16S",NA,"Mary Cookney","1615 - 1644",29,"UK:Great Britain",1,5
"LC78-25S",NA,"James Barrett Sr.","1612 - 1672",60,"UK:Great Britain",8,6
"LCMF-6XW",NA,"John Fiedler Cage","1627 - 1676",49,"UK:Great Britain",5,0
"LH3G-3R8",NA,"Fortune Gwilym","1637 - 1681",44,"UK:Great Britain",7,0
"LH51-TR2",NA,"John Judson","1647 - 1709",61,NA,17,11
"LH84-TZ1",NA,"Catherine Herbert","1580 - 1625",45,"UK:Great Britain",12,8
"LH8K-83N",NA,"Anne Markham","1612 - Unknown",NA,"UK:Great Britain",4,0
"LH9H-W73",NA,"Sarah Russell","1606 - 1689",83,"UK:Great Britain",7,9
"LHDS-JYD",NA,"Sarah Blake","1656 - 1697",41,"USA",3,12
"LHKC-826",NA,"Mary Allerton","1635 - 1678",43,"UK:Great Britain",6,3
"LHR8-KRX",NA,"Susanna Annie Hall","1627 - 1680",53,"UK:Great Britain",5,13
"LHRM-LVC",NA,"Samuel Pettypool Poole","1591 - 1667",76,"USA",8,0
"LHRY-PJ9",NA,"Samuel Vawdrey","1598 - 1714",116,"UK:Great Britain",4,11
"LJ26-M8D",NA,"Jonas Nilsson","1620 - 1693",73,"Sweden",11,2
"LJKP-GT8",NA,"William Perry","1612 - Unknown",47,"UK:Great Britain",15,0
"LKBN-NBT",NA,"John Thomas Tucker","1626 - 1671",44,"USA",6,3
"LKF5-NQV",NA,"Eleanor Blakely","1619 - Unknown",NA,"UK:Great Britain",1,0
"LLHB-4LG",NA,"Elizabeth Chapman","1649 - 1695",46,NA,12,1
"LT52-7C2",NA,"Samuel Jackson Sr.","1640 - 1688",48,"USA",1,0
"LT84-P6X",NA,"Richard Everett","1612 - Unknown",56,"UK:Great Britain",5,0
"LTPW-BJV",NA,"Geoffrey Sharples","1586 - 1661",75,"UK:Great Britain",12,10
"LVN4-L1P",NA,"Valentine Hughes","1635 - 1723",87,"UK:Great Britain",7,2
"LVSZ-KDD",NA,"Anne Portman","1610 - 1695",85,"UK:Great Britain",8,7
"LWXR-5VQ",NA,"Godfrey Ragsdale I","1615 - 1644",29,"UK:Great Britain",2,10
"LX3R-GFG",NA,"Capt James Horatio Lockhart Sr","1647 - 1711",64,"UK:Great Britain",5,3
"LYGX-LZ9",NA,"Hannah Fosdick","1615 - 1681",66,"UK:Great Britain",9,6
"LZ2R-46Z",NA,"Sir Robert Kirkpatrick 17th Laird of Closeburne","1603 - 1668",65,"UK:Great Britain",3,13
"LZ6S-3DR",NA,"Margaret Ashley","1586 - 1643",57,"UK:Great Britain",17,3
"LZD8-HP5",NA,"Elizabeth Yelverton","1618 - 1668",50,"UK:Great Britain",14,3
"LZDS-SXX",NA,"Thomas Peyton","1616 - 1683",67,"UK:Great Britain",14,4
"LZKY-RPX",NA,"Alice Jackson","Unknown - 1667",76,"UK:Great Britain",8,0
"LZXY-G7B",NA,"Anna Appollonia Hanss","1615 - 1709",94,"Germany",7,0
"LZXY-GZ6",NA,"Johannes Georg Hüther","1620 - 1679",59,"Germany",7,1
"M1SK-ZGD",NA,"Johanna Treat","1618 - 1694",76,"UK:Great Britain",11,12
"M4QW-XFQ",NA,"(Unknown) (Unknown)","1590 - Unknown",NA,NA,1,0
"M81B-5KL",NA,"Anne","1612 - 1670",58,"UK:Great Britain",3,0
"M8F2-CKR",NA,"Maria Gertrud Weber","Unknown - Unknown",NA,"Germany",1,0
"MGCQ-513",NA,"Katherine Baker","1600 - 1671",71,"UK:Great Britain",3,0
"MTCZ-GW1",NA,"Ceicly","1616 - Unknown",NA,"UK:Great Britain",4,0
"MXHL-3CF",NA,"Jeane Lawsoune","1625 - Unknown",NA,"UK:Great Britain",5,0
"21JK-QC9",NA,"William Gwilym","1613 - Unknown",NA,"UK:Great Britain",1,0
"2HSD-7G9",NA,"Margaret Elizabeth Ross","1576 - 1645",69,"UK:Great Britain",6,0
"94YN-5LG","Q16863810","Richard Treat Sr.","1584 - 1669",84,"UK:Great Britain",13,6
"969F-PCX",NA,"John Chapman","1613 - 1655",42,"UK:Great Britain",2,0
"9788-PXV",NA,"Elizabeth Barrow","1600 - 1620",20,"UK:Great Britain",1,0
"9C4G-MKY",NA,"Joseph Judson","1619 - 1690",71,"UK:Great Britain",12,4
"9CDG-YVS",NA,"Humphrey Barrett","1592 - 1662",70,"UK:Great Britain",7,4
"9H7Q-96C",NA,"Alice Tomes","1592 - 1645",52,"UK:Great Britain",8,9
"9HJR-B9D",NA,"Martin Hüther","1590 - 1645",55,NA,2,0
"9HJR-BSY",NA,"Catharina Wagner","1590 - Unknown",NA,"Germany",2,0
"9VCL-P29",NA,"Edward Blake","1626 - 1692",66,"UK:Great Britain",13,6
"9WMK-G8T",NA,"Robert Farr","1595 - Unknown",62,"UK:Great Britain",4,0
"G21B-8M1",NA,"Elizabeth Fisherman","1610 - 1701",91,NA,1,0
"G21B-XWP",NA,"John Hubbard","1610 - 1675",65,"UK:Great Britain",1,2
"G297-L1H",NA,"John Baker Becker Sr.","1598 - 1673",75,"UK:Great Britain",1,0
"G29W-D4Z",NA,"Hannah Beecher Langford","1584 - 1659",75,"UK:Great Britain",1,0
"G2HB-BKP",NA,"John William Baker Sir","1570 - 1642",72,"UK:Great Britain",1,0
"G2WB-KN5",NA,"Frances Holmes","1606 - Unknown",57,"UK:Great Britain",7,1
"G3SN-R6H",NA,"Edward Beauchamp Seymour","1586 - 1618",32,"UK:Great Britain",8,7
"G3WP-ZRN",NA,"Richard Talley","1627 - Unknown",NA,"UK:Great Britain",1,0
"G3YC-C4X",NA,"Robert Spencer","1600 - Unknown",NA,"UK:Great Britain",1,0
"G4WW-JPV",NA,"Mary Clifford","1590 - 1650",60,"UK:Great Britain",1,11
"G4XN-2GC",NA,"Dame Agnes Charteris of Amisfield","1581 - Unknown",NA,"UK:Great Britain",14,8
"G4XN-HWP",NA,"Sir James Thomas Kirkpatrick","1580 - 1645",65,"UK:Great Britain",19,0
"G64V-VDD",NA,"Mrs. Robert Lawsoune","1605 - Unknown",NA,"UK:Great Britain",1,0
"G6QZ-D8F",NA,"Richard Watkins II","1600 - 1654",54,"UK:Great Britain",6,4
"G6W8-6JS",NA,"John Cage","1584 - Unknown",NA,"UK:Great Britain",1,7
"G8CT-4PJ",NA,"Lady Rebecca Claiborne","1593 - 1650",57,"UK:Great Britain",10,0
