"fid","QID","name","lifespan","age_at_death","birth_country","children","siblings"
"2P4M-8ZS",NA,"Elizabeth Hill","1661 - 1704",42,"USA",7,6
"2RBD-PSM",NA,"Richard Childe","1631 - 1694",63,"UK:Great Britain",14,15
"2SH6-PM4",NA,"Johannes Rauenzahner","1683 - 1744",61,"Germany",7,4
"2W9V-H9Z",NA,"Timothy Baldwin","1661 - 1735",73,"USA",6,11
"93FD-XVJ",NA,"Hannah Strong","1659 - 1694",34,"USA",7,15
"9CWM-WLB",NA,"Mary Brooks","1667 - 1724",57,"USA",9,5
"9JVC-BJ5",NA,"Edward Lewis","Unknown - 1703",68,NA,7,7
"9KD9-F9T",NA,"Thomas Merrick","1620 - 1704",84,"UK:Great Britain",13,5
"9Q99-1SS",NA,"Hope Chipman","1652 - 1728",75,"USA",12,11
"9W1T-VGG",NA,"Thomas Washburn","1648 - Unknown",84,"USA",16,10
"G2KQ-F7T",NA,"James Cunningham","1630 - 1722",92,"UK:Northern Ireland",6,4
"G2KQ-H3D",NA,"Marion Borthwick","1638 - Unknown",NA,"Ireland",12,0
"G66S-3B4",NA,"Anna Barbara","1683 - 1725",41,"Germany",3,0
"G66S-SCH",NA,"Wilhelm Conrad Repp","1680 - 1719",39,"Germany",3,0
"G7CB-PWB",NA,"Marie Francoise Lequier","1693 - 1715",22,NA,1,0
"G9RF-Z93",NA,"Johann Andreas Beyer","1681 - 1723",42,"Germany",26,3
"G9TQ-2YP",NA,"Johann Georg Schumacher","1675 - 1733",58,"France",7,4
"GDJM-FKB",NA,"Wendel Leibenguth","1676 - 1754",78,"France",1,4
"GDJM-NWS",NA,"Anna Margaretha Schaffers","1681 - 1758",76,"France",1,4
"GFT8-D7Q",NA,"Joanne Elizabeth Browne","1604 - 1655",52,"Ireland",8,7
"GKV2-DZB",NA,"Thomas Root","1667 - 1758",90,"USA",9,6
"GLJB-W7S",NA,"Catharina Schroder","1653 - 1691",38,"Germany",10,1
